Item,Unit Quantity,Unit Price,Link
KickPi K2B V1.1,1,$55.99,https://www.amazon.com/KICKPI-K2B-Development-Allwinner-Alternative/dp/B0DP64TCMM
"7"" HDMI touchscreen display",1,$49.16,https://www.aliexpress.us/item/3256808052500489.html
21700 Flat Top Li-ion battery,4,$8.99,https://www.18650batterystore.com/products/molicel-p42a
Power toggle button,1,$5.05,https://www.aliexpress.us/item/3256808032650879.html
Mini keyboard w/ touchpad,1,$9.30,https://www.aliexpress.us/item/3256805678693083.html
USB hub,2,$2.16,https://www.aliexpress.us/item/3256805881712545.html
Mini Pelican-style case,1,$21.33,https://www.aliexpress.us/item/3256811877732636.html
OLED status display,1,$2.89,https://www.aliexpress.us/item/3256809030882696.html
Indicator LEDs,1,$6.57,https://www.aliexpress.us/item/3256809134773636.html
Small 5v fan,1,$2.62,https://www.aliexpress.us/item/3256806120222119.html
UPS HAT (E),1,$32.99,https://www.waveshare.com/ups-hat-e.htm
EC11 Rotary Encoders,1,$3.26,https://www.aliexpress.us/item/3256811428797543.html
Total,,$229.44,
Left to purchase,,$121.40,
Estimated on sale price (left to purchase),,~$90.99,
